type,choices,feedback,key_mapping,target,instruction,name,multi_select,wrap,required,layout
choice,"[""Lab"",""Lap""]",true,"[""F"",""J""]","[""Lab""]","The word spoken was Lab.  If you press the [Lab], which is correct, you should hear a ding sound. If you press [Lap] button, which is incorrect, you will hear a buzz sound. You can press either key to make a response.",EXP8c_exampleRsp_l_F,,,,
choice,"[""Lap"",""Lab""]",true,"[""F"",""J""]","[""Lab""]","The word spoken was Lab.  If you press the [Lab], which is correct, you should hear a ding sound. If you press [Lap] button, which is incorrect, you will hear a buzz sound. You can press either key to make a response.",EXP8c_exampleRsp_l_J,,,,
choice,"[""Lap"",""Lab""]",true,"[""F"",""J""]","[""Lap""]","The word spoken was Lap.  If you press the [Lap], which is correct, you should hear a ding sound. If you press [Lab] button, which is incorrect, you will hear a buzz sound. You can press either key to make a response.",EXP8c_exampleRsp_s_F,,,,
choice,"[""Lab"",""Lap""]",true,"[""F"",""J""]","[""Lap""]","The word spoken was Lap.  If you press the [Lap], which is correct, you should hear a ding sound. If you press [Lab] button, which is incorrect, you will hear a buzz sound. You can press either key to make a response.",EXP8c_exampleRsp_s_J,,,,
choice,"[""Lap"",""Lab""]",,"[""F"",""J""]",,The word spoken was:,EXP8c_testRsp,,,,
choice,"[""Lab"",""Lap""]",,"[""F"",""J""]",,The word spoken was:,EXP8c_testRsp_rv,,,,
choice,"[""I think I speak it with a foreign accent"",""I DON'T think I speak it with a foreign accent"",""I think I have lost fluency in this language"",""I DON'T think I have lost fluency in this language""]",false,,,,LangResponses,true,true,,
text,,,,,,TxRsp,,,true,
choice,"[""Female"",""Male"",""Other""]",,,,,basicRsp,,,,
choice,"[""Bird singing"",""Frog croaking""]",,"[""F"",""J""]","[""Bird singing""]",The sound you heard was:,bird_catchRsp,,,,
choice,"[""Dog barking"",""Cat meowing""]",,"[""F"",""J""]","[""Cat meowing""]",The sound you heard was:,cat_catchRsp,,,,
choice,"[""Longer"",""Shorter""]",true,"[""F"",""J""]","[""Longer""]","The answer is longer. If you press the [longer] button, which is correct, you should hear a ding sound. If you press [shorter] button, which is incorrect, you will hear a buzz sound. You can press either key to make a response.",exampleresponse_l_F,,,,
choice,"[""Shorter"",""Longer""]",true,"[""F"",""J""]","[""Longer""]","The answer is longer. If you press the [longer] button, which is correct, you should hear a ding sound. If you press [shorter] button, which is incorrect, you will hear a buzz sound. You can press either key to make a response.",exampleresponse_l_J,,,,
choice,"[""Shorter"",""Longer""]",true,"[""F"",""J""]","[""Shorter""]","The answer is shorter. If you press the [shorter] button, which is correct, you should hear a ding sound. If you press [longer] button, which is incorrect, you will hear a buzz sound. You can press either key to make a response.",exampleresponse_s_F,,,,
choice,"[""Longer"",""Shorter""]",true,"[""F"",""J""]","[""Shorter""]","The answer is shorter. If you press the [shorter] button, which is correct, you should hear a ding sound. If you press [longer] button, which is incorrect, you will hear a buzz sound. You can press either key to make a response.",exampleresponse_s_J,,,,
choice,"[""Longer"",""Shorter""]",true,"[""F"",""J""]","[""Longer""]",Is the last tone shorter or longer?,practiceresponse_l_F,,,,
choice,"[""Shorter"",""Longer""]",true,"[""F"",""J""]","[""Longer""]",Is the last tone shorter or longer?,practiceresponse_l_J,,,,
choice,"[""Shorter"",""Longer""]",true,"[""F"",""J""]","[""Shorter""]",Is the last tone shorter or longer?,practiceresponse_s_F,,,,
choice,"[""Longer"",""Shorter""]",true,"[""F"",""J""]","[""Shorter""]",Is the last tone shorter or longer?,practiceresponse_s_J,,,,
choice,"[""Back"",""Bag""]",,"[""F"",""J""]",,The word spoken was:,prescreenRsp_bagback,,,,
choice,"[""Bag"",""Back""]",,"[""F"",""J""]",,The word spoken was:,prescreenRsp_bagback_rv,,,,
choice,"[""Beat"",""Bead""]",,"[""F"",""J""]",,The word spoken was:,prescreenRsp_beadbeat,,,,
choice,"[""Bead"",""Beat""]",,"[""F"",""J""]",,The word spoken was:,prescreenRsp_beadbeat_rv,,,,
choice,"[""Cap"",""Cab""]",,"[""F"",""J""]",,The word spoken was:,prescreenRsp_cabcap,,,,
choice,"[""Cab"",""Cap""]",,"[""F"",""J""]",,The word spoken was:,prescreenRsp_cabcap_rv,,,,
