type,content,alignment,name,size,visible,delay
text,"<p>Welcome! <br /> <br /> <br /> In this study, you will listen to a series of sounds and press keys to enter a response. It will take about 60 mins to finish this experiment. <br /> Please use earphones, earbuds or headphones while completing the task. Please adjust your volume to a comfortable sound level. <br />You will begin with a questionnaire asking about your listening devices and how noisy your current environment is.</p>",center,LandingWelcome,,,
text,"How noisy is your current environment? (1 = Little to no noise, 5 = Very noisy)",center,logistics_noise,36px,,
text,"<p> Okay! We are about to start the experiment. Below are my final reminders. <br /><br /> (1) Use your keyboard to respond instead of using your mouse. <br />(2) DON'T THINK. Follow your first intuition to make response ASAP. You cannot get it correct by thinking. <br />(3) The total time will depend on your response time, so try to respond as correct and fast as possible. <br />(4) This task is HARD, and thus requires your undivided attention, so please put away your phone or other distractors whlie doing this experiment. <br /><br /> That's all I have for you. Please try your best! Good luck.</ p>",center,Instruction_main,,,
text,Congradulations! You've completed the main task. We just have a few important questions to ask you before you go...,center,Instruction_Q,,,
text,"What language are you most comfortable with using? Who did you learn it from, and starting at what age? (Please be specific, for example, say Mandarin rather than Chinese; American English rather than English.) 

 Example: <i>American English, parents, starting at birth</i>",center,DomLang,36px,,
text,"<b>What language</b> are you NEXT most comfortable with using? <b>Who</b> did you learn it from, and starting at <b>what age</b>? (Please be specific, for example, say Mandarin rather than Chinese; American English rather than English.) 

 Example: <i>Spanish, grandmother, starting at age 5</i>",center,NonDomLang,36px,,
text,Please briefly list the language(s) you use in the following situations: at home; in dorm/apartment; while doing math in your head; while thinking; which one you would use for the rest of your life if you could pick just one. <i>Example response: Home: Spanish; Dorm: English; Math: English; Thinking: English; Rest of life: Italian.</i>,center,LangPrefs,36px,,
text,Please answer these questions for the language you are most comfortable with.,center,DomLangQs,36px,,
text,Please answer these questions for the language you are most comfortable with.,center,NonDomLangQs,,,
text,Please select your gender,center,Gender,36px,,
text,Please enter your age in years.,center,Age,36px,,
text,What did you think the music experiment was about? Did you notice any recurring patterns?,center,debrief1,36px,,
text,Did you change how you were answering at any time during the study? What did you change?,center,debrief2,36px,,
text,Any other comments or observations about the study?,center,debrief3,36px,,
text,"Are there any other languages that you speak or understand? Please describe them briefly here. 

 Example: <i>understand Spanish from high school classes, speak a little Hindi with grandmother</i>",center,AnyOtherLang,36px,,
text,"<p>In this session, you will hear either “Ba” or “Pa” sound on each trial. Press F key on the keyboard by your left index finger if you hear “Ba”. Press J key by your right index finger if you hear “Pa”. If you are not sure, please make the best guess as you can.</p>",center,DiscriminationI,,,
text,"<p>In this session, you will hear either “Ba” or “Pa” sound on each trial. Press F key on the keyboard by your left index finger if you hear “Pa”. Press J key by your right index finger if you hear “Ba”. If you are not sure, please make the best guess as you can.</p>",center,DiscriminationI_reversekey,,,
