type,choices,feedback,key_mapping,target,instruction,name,multi_select
choice,"[""At"",""Add""]",true,"[""F"",""J""]","[""Add""]","The answer is /Add/. If you select /Add/, which is correct, you should hear a ding sound. If you select /At/, which is incorrect, you will hear a buzz sound. You can press either key to make a response.",EXP9a_ExpRsp_add,
choice,"[""Add"",""At""]",true,"[""F"",""J""]","[""Add""]","The answer is /Add/. If you select /Add/, which is correct, you should hear a ding sound. If you select /At/, which is incorrect, you will hear a buzz sound. You can press either key to make a response.",EXP9a_ExpRsp_add_rv,
choice,"[""At"",""Add""]",true,"[""F"",""J""]","[""At""]","The answer is /At/. If you select /At/, which is correct, you should hear a ding sound. If you select /Add/, which is incorrect, you will hear a buzz sound. You can press either key to make a response.",EXP9a_ExpRsp_at,
choice,"[""Add"",""At""]",true,"[""F"",""J""]","[""At""]","The answer is /At/. If you select /At/, which is correct, you should hear a ding sound. If you select /Add/, which is incorrect, you will hear a buzz sound. You can press either key to make a response.",EXP9a_ExpRsp_at_rv,
choice,"[""At"",""Add""]",,"[""F"",""J""]",,The word spoken was:,EXP9a_testRsp,
choice,"[""Add"",""At""]",,"[""F"",""J""]",,The word spoken was:,EXP9a_testRsp_rv,
choice,"[""Longer"",""Shorter""]",true,"[""F"",""J""]","[""Longer""]","The answer is longer. If you press the [longer] button, which is correct, you should hear a ding sound. If you press [shorter] button, which is incorrect, you will hear a buzz sound. You can press either key to make a response.",EXP9b_ExpRsp_l,
choice,"[""Shorter"",""Longer""]",true,"[""F"",""J""]","[""Longer""]","The answer is longer. If you press the [longer] button, which is correct, you should hear a ding sound. If you press [shorter] button, which is incorrect, you will hear a buzz sound. You can press either key to make a response.",EXP9b_ExpRsp_l_rv,
choice,"[""Longer"",""Shorter""]",true,"[""F"",""J""]","[""Shorter""]","The answer is shorter. If you press the [shorter] button, which is correct, you should hear a ding sound. If you press [longer] button, which is incorrect, you will hear a buzz sound. You can press either key to make a response.",EXP9b_ExpRsp_s,
choice,"[""Shorter"",""Longer""]",true,"[""F"",""J""]","[""Shorter""]","The answer is shorter. If you press the [shorter] button, which is correct, you should hear a ding sound. If you press [longer] button, which is incorrect, you will hear a buzz sound. You can press either key to make a response.",EXP9b_ExpRsp_s_rv,
choice,"[""Shorter"",""Longer""]",,"[""F"",""J""]",,Is this tone shorter or longer?,EXP9b_testRsp,
choice,"[""Longer"",""Shorter""]",,"[""F"",""J""]",,Is this tone shorter or longer?,EXP9b_testRsp_rv,
choice,"[""I think I speak it with a foreign accent"",""I DON'T think I speak it with a foreign accent"",""I think I have lost fluency in this language"",""I DON'T think I have lost fluency in this language""]",false,,,,LangResponses,true
text,,,,,,TxRsp,
choice,"[""Female"",""Male"",""Other""]",,,,,basicRsp,
choice,"[""Bird singing"",""Frog croaking""]",,"[""F"",""J""]","[""Bird singing""]",The sound you heard was:,bird_catchRsp,
choice,"[""Dog barking"",""Cat meowing""]",,"[""F"",""J""]","[""Cat meowing""]",The sound you heard was:,cat_catchRsp,
choice,"[""Back"",""Bag""]",,"[""F"",""J""]",,The word spoken was:,prescreenRsp_bagback,
choice,"[""Bag"",""Back""]",,"[""F"",""J""]",,The word spoken was:,prescreenRsp_bagback_rv,
choice,"[""Beat"",""Bead""]",,"[""F"",""J""]",,The word spoken was:,prescreenRsp_beadbeat,
choice,"[""Bead"",""Beat""]",,"[""F"",""J""]",,The word spoken was:,prescreenRsp_beadbeat_rv,
choice,"[""Cap"",""Cab""]",,"[""F"",""J""]",,The word spoken was:,prescreenRsp_cabcap,
choice,"[""Cab"",""Cap""]",,"[""F"",""J""]",,The word spoken was:,prescreenRsp_cabcap_rv,
choice,"[""Fat"",""Fad""]",,"[""F"",""J""]",,The word spoken was:,prescreenRsp_fadfat,
choice,"[""Fad"",""Fat""]",,"[""F"",""J""]",,The word spoken was:,prescreenRsp_fadfat_rv,
choice,"[""Lap"",""Lab""]",,"[""F"",""J""]",,The word spoken was:,prescreenRsp_lablap,
choice,"[""Lab"",""Lap""]",,"[""F"",""J""]",,The word spoken was:,prescreenRsp_lablap_rv,
choice,"[""Lack"",""Lag""]",,"[""F"",""J""]",,The word spoken was:,prescreenRsp_laglack,
choice,"[""Lag"",""Lack""]",,"[""F"",""J""]",,The word spoken was:,prescreenRsp_laglack_rv,
choice,"[""Yes"",""No""]",,,,,survey_headphone1,
choice,"[""Wired Headphones"",""Wired Earbuds"",""Wireless Headphones"",""Wireless Earbuds"",""Built in Laptop/Desktop Speaker (Please use headphones if possible!)"",""External Ambient Speaker (Please use headphones if possible!)"",""Mobile Phone Speaker (Please complete on computer and use headphones if possible)"",""Other""]",,,,,survey_headphone2,
choice,"[1,2,3,4,5]",,,,,survey_noise,
choice,"[""Words"",""Musical Tones""]",,,,,tone_or_word,
